,0
0,-202.34375000000028
1,310.1562499999999
2,-492.96875000000006
3,142.96875000000017
4,739.8437500000002
5,692.9687499999998
6,639.8437500000005
7,-77.3437499999998
8,402.34375
9,-400.78124999999994
10,633.59375
11,-91.40624999999986
12,547.6562500000002
13,22.65625000000003
14,647.6562500000001
15,14.843750000000313
16,341.40624999999983
17,114.84375000000014
18,-369.53125
19,541.4062499999999
20,-183.59374999999997
21,-752.3437499999999
22,600.7812499999997
23,-83.59375000000014
24,-461.7187500000001
25,441.4062500000001
26,533.5937500000002
27,-110.15625000000017
28,8.593749999999972
29,50.78125000000006
30,433.59374999999994
31,-660.1562499999998
