,0
0,-335.9375
1,201.5625000000001
2,-489.0624999999999
3,-54.687499999999716
4,817.1874999999998
5,364.06250000000017
6,970.3124999999997
7,270.31249999999994
8,210.93750000000028
9,-479.6874999999997
10,776.5624999999999
11,439.06249999999983
12,760.9375
13,117.18750000000006
14,607.8125
15,479.68749999999966
16,89.0625
17,326.5624999999998
18,-592.1874999999998
19,567.1875000000002
20,229.68750000000006
21,-754.6875
22,354.6875
23,76.56250000000017
24,-601.5625
25,720.3125
26,929.6874999999998
27,-326.56249999999983
28,285.9374999999999
29,-64.06249999999994
30,98.43750000000017
31,-745.3124999999998
