,0
0,553.1249999999995
1,371.8749999999996
2,187.50000000000026
3,-342.18749999999966
4,-146.8749999999992
5,704.6875
6,-675.0000000000001
7,-579.6875
8,276.56249999999943
9,-246.8749999999995
10,804.6875000000003
11,709.3750000000002
12,-242.18749999999937
13,724.9999999999992
14,609.3749999999999
15,-303.1249999999998
16,-226.56250000000034
17,-321.8750000000005
18,-859.3749999999995
19,648.4374999999998
20,-398.4375
21,-298.43749999999966
22,-506.2499999999999
23,748.4375
24,445.31249999999966
25,92.18750000000009
26,629.6874999999991
27,-203.1249999999995
28,-410.9374999999997
29,540.6249999999998
30,653.1249999999999
31,-764.0624999999993
