,0
0,465.0000000000001
1,336.25
2,-1.2500000000001137
3,-72.49999999999984
4,175.6249999999999
5,507.4999999999999
6,-573.7499999999999
7,-335.0
8,97.50000000000009
9,307.50000000000006
10,804.3749999999998
11,670.625
12,224.37499999999994
13,523.1249999999999
14,802.5000000000002
15,-30.000000000000043
16,98.12500000000023
17,-49.37499999999977
18,-236.2499999999997
19,845.0
20,265.0000000000002
21,224.37499999999994
22,-140.6249999999997
23,804.3749999999998
24,284.375
25,-240.0
26,193.12500000000014
27,175.6249999999999
28,189.3750000000001
29,431.87500000000006
30,670.625
31,2.5000000000002274
