,0
0,293.7500000000003
1,278.125
2,40.625
3,-145.31250000000009
4,29.687500000000085
5,603.1249999999997
6,-306.25000000000006
7,-367.18750000000034
8,-29.68749999999997
9,29.687500000000213
10,731.2500000000001
11,556.2499999999998
12,7.8125
13,354.6875
14,531.2500000000002
15,-207.81249999999977
16,-290.62500000000034
17,-337.5000000000001
18,-390.62499999999983
19,518.7499999999999
20,-229.68749999999986
21,-178.12499999999955
22,-390.62499999999994
23,595.3124999999999
24,-114.06249999999989
25,-267.1875
26,154.6875
27,-106.25000000000014
28,-190.625
29,-67.18750000000014
30,370.3125000000003
31,-451.5625000000001
