,0
0,917.3728813559323
1,104.66101694915295
2,564.6186440677969
3,834.3220338983064
4,741.2076271186436
5,311.016949152542
6,1576.4830508474572
7,52.5423728813563
8,571.2923728813562
9,-350.95338983050846
10,992.2669491525412
11,796.9279661016946
12,-357.6271186440678
13,-60.06355932203428
14,1025.317796610169
15,601.2711864406779
16,-478.07203389830556
17,721.7161016949156
18,21.716101694914983
19,-106.56779661017009
20,620.7627118644058
21,-1502.224576271186
22,1029.978813559323
23,358.792372881356
24,1657.0974576271185
25,1663.4533898305083
26,-611.2288135593226
27,1396.8220338983042
28,1285.593220338983
29,1138.3474576271185
30,-416.41949152542384
31,-1100.4237288135591
