,0
0,2037.8648410537126
1,2590.1364256028305
2,4715.28447686519
3,6440.647233803358
4,8584.758225990932
5,9674.541280967689
6,9914.310781401262
7,12058.421773588838
8,13386.314174233303
9,13487.417667685346
10,14179.7303663684
11,14990.806300229688
12,15908.128385224849
13,17095.979671735375
14,19273.885626923027
15,20255.690468046665
16,20269.510751290058
17,20283.331034533458
18,20781.904884279196
19,21367.761944233596
20,22178.837878094884
21,23819.23236285489
22,25338.548674406178
23,27967.413233096093
24,30630.072754786102
25,31215.929814740506
26,32456.53900517633
27,33159.63672518449
28,33260.740218636536
29,34125.304399706394
30,35561.17501420397
31,36253.48771288704
32,35729.79652570278
33,36959.62069481348
34,36920.68307413159
35,36396.99188694735
36,37486.774941924086
37,38179.08764060716
38,38677.66149035291
39,39594.98357534807
40,39349.99950927927
41,40439.782564256035
42,41875.65317875362
43,42686.72911261491
44,42787.832606066964
45,43816.12911667452
46,44454.7440805542
47,46169.32181616723
48,47571.397467664734
49,48694.76599804676
50,49444.35538753883
51,49656.433306603285
52,49948.96071096216
53,50492.50365506738
54,51295.7907793628
55,52419.159309744835
56,53855.02992424242
57,54744.660427868424
58,55063.19398566152
59,55701.80894954123
60,56683.61379066482
61,57851.95141540631
62,58116.78723839605
63,58496.597852963576
64,58848.71688616197
65,59877.01339676953
66,61106.837565880225
67,61597.62260606009
68,62174.960513165366
69,63343.298137906866
70,64545.43072564843
71,65070.010728828405
72,66410.80932355151
73,67300.43982717748
74,67680.25044174501
